difficulty,id,paidOnly,questionFrontendId,status,title,titleSlug,topicTags,acRate
MEDIUM,45,False,45,TO_DO,Jump Game II,jump-game-ii,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Dynamic Programming', 'slug': 'dynamic-programming', '__typename': 'CommonTagNode'}, {'name': 'Greedy', 'slug': 'greedy', '__typename': 'CommonTagNode'}]",0.4182989867858938
MEDIUM,46,False,46,TO_DO,Permutations,permutations,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Backtracking', 'slug': 'backtracking', '__typename': 'CommonTagNode'}]",0.8102296102314395
MEDIUM,47,False,47,TO_DO,Permutations II,permutations-ii,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Backtracking', 'slug': 'backtracking', '__typename': 'CommonTagNode'}, {'name': 'Sorting', 'slug': 'sorting', '__typename': 'CommonTagNode'}]",0.6206188870449962
MEDIUM,48,False,48,TO_DO,Rotate Image,rotate-image,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Math', 'slug': 'math', '__typename': 'CommonTagNode'}, {'name': 'Matrix', 'slug': 'matrix', '__typename': 'CommonTagNode'}]",0.784570812726971
MEDIUM,49,False,49,TO_DO,Group Anagrams,group-anagrams,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Hash Table', 'slug': 'hash-table', '__typename': 'CommonTagNode'}, {'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}, {'name': 'Sorting', 'slug': 'sorting', '__typename': 'CommonTagNode'}]",0.7136400273738094
MEDIUM,50,False,50,TO_DO,"Pow(x, n)",powx-n,"[{'name': 'Math', 'slug': 'math', '__typename': 'CommonTagNode'}, {'name': 'Recursion', 'slug': 'recursion', '__typename': 'CommonTagNode'}]",0.3745635357791003
HARD,51,False,51,TO_DO,N-Queens,n-queens,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Backtracking', 'slug': 'backtracking', '__typename': 'CommonTagNode'}]",0.7369388267416788
HARD,52,False,52,TO_DO,N-Queens II,n-queens-ii,"[{'name': 'Backtracking', 'slug': 'backtracking', '__typename': 'CommonTagNode'}]",0.7723124640228951
MEDIUM,53,False,53,TO_DO,Maximum Subarray,maximum-subarray,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Divide and Conquer', 'slug': 'divide-and-conquer', '__typename': 'CommonTagNode'}, {'name': 'Dynamic Programming', 'slug': 'dynamic-programming', '__typename': 'CommonTagNode'}]",0.5238308440791928
MEDIUM,54,False,54,TO_DO,Spiral Matrix,spiral-matrix,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Matrix', 'slug': 'matrix', '__typename': 'CommonTagNode'}, {'name': 'Simulation', 'slug': 'simulation', '__typename': 'CommonTagNode'}]",0.5474401584013835
MEDIUM,55,False,55,TO_DO,Jump Game,jump-game,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Dynamic Programming', 'slug': 'dynamic-programming', '__typename': 'CommonTagNode'}, {'name': 'Greedy', 'slug': 'greedy', '__typename': 'CommonTagNode'}]",0.39842937004360385
MEDIUM,56,False,56,TO_DO,Merge Intervals,merge-intervals,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Sorting', 'slug': 'sorting', '__typename': 'CommonTagNode'}]",0.49827317866799126
MEDIUM,57,False,57,TO_DO,Insert Interval,insert-interval,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}]",0.4391402277552552
EASY,58,False,58,TO_DO,Length of Last Word,length-of-last-word,"[{'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}]",0.5696759316327384
MEDIUM,59,False,59,TO_DO,Spiral Matrix II,spiral-matrix-ii,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Matrix', 'slug': 'matrix', '__typename': 'CommonTagNode'}, {'name': 'Simulation', 'slug': 'simulation', '__typename': 'CommonTagNode'}]",0.7380452379851057
HARD,60,False,60,TO_DO,Permutation Sequence,permutation-sequence,"[{'name': 'Math', 'slug': 'math', '__typename': 'CommonTagNode'}, {'name': 'Recursion', 'slug': 'recursion', '__typename': 'CommonTagNode'}]",0.5057974101552138
MEDIUM,61,False,61,TO_DO,Rotate List,rotate-list,"[{'name': 'Linked List', 'slug': 'linked-list', '__typename': 'CommonTagNode'}, {'name': 'Two Pointers', 'slug': 'two-pointers', '__typename': 'CommonTagNode'}]",0.40374286375132323
MEDIUM,62,False,62,TO_DO,Unique Paths,unique-paths,"[{'name': 'Math', 'slug': 'math', '__typename': 'CommonTagNode'}, {'name': 'Dynamic Programming', 'slug': 'dynamic-programming', '__typename': 'CommonTagNode'}, {'name': 'Combinatorics', 'slug': 'combinatorics', '__typename': 'CommonTagNode'}]",0.6604253578146106
MEDIUM,63,False,63,TO_DO,Unique Paths II,unique-paths-ii,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Dynamic Programming', 'slug': 'dynamic-programming', '__typename': 'CommonTagNode'}, {'name': 'Matrix', 'slug': 'matrix', '__typename': 'CommonTagNode'}]",0.43503377824259215
MEDIUM,64,False,64,TO_DO,Minimum Path Sum,minimum-path-sum,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Dynamic Programming', 'slug': 'dynamic-programming', '__typename': 'CommonTagNode'}, {'name': 'Matrix', 'slug': 'matrix', '__typename': 'CommonTagNode'}]",0.6699855247744602
HARD,65,False,65,TO_DO,Valid Number,valid-number,"[{'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}]",0.21842127541997203
EASY,66,False,66,TO_DO,Plus One,plus-one,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Math', 'slug': 'math', '__typename': 'CommonTagNode'}]",0.4791373654297889
EASY,67,False,67,TO_DO,Add Binary,add-binary,"[{'name': 'Math', 'slug': 'math', '__typename': 'CommonTagNode'}, {'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}, {'name': 'Bit Manipulation', 'slug': 'bit-manipulation', '__typename': 'CommonTagNode'}, {'name': 'Simulation', 'slug': 'simulation', '__typename': 'CommonTagNode'}]",0.5602311741752071
HARD,68,False,68,TO_DO,Text Justification,text-justification,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}, {'name': 'Simulation', 'slug': 'simulation', '__typename': 'CommonTagNode'}]",0.48870086458486584
EASY,69,False,69,TO_DO,Sqrt(x),sqrtx,"[{'name': 'Math', 'slug': 'math', '__typename': 'CommonTagNode'}, {'name': 'Binary Search', 'slug': 'binary-search', '__typename': 'CommonTagNode'}]",0.4067199395587934
EASY,70,False,70,TO_DO,Climbing Stairs,climbing-stairs,"[{'name': 'Math', 'slug': 'math', '__typename': 'CommonTagNode'}, {'name': 'Dynamic Programming', 'slug': 'dynamic-programming', '__typename': 'CommonTagNode'}, {'name': 'Memoization', 'slug': 'memoization', '__typename': 'CommonTagNode'}]",0.5366837283834687
MEDIUM,71,False,71,TO_DO,Simplify Path,simplify-path,"[{'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}, {'name': 'Stack', 'slug': 'stack', '__typename': 'CommonTagNode'}]",0.48594450799034694
MEDIUM,72,False,72,TO_DO,Edit Distance,edit-distance,"[{'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}, {'name': 'Dynamic Programming', 'slug': 'dynamic-programming', '__typename': 'CommonTagNode'}]",0.5928990334133242
MEDIUM,73,False,73,TO_DO,Set Matrix Zeroes,set-matrix-zeroes,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Hash Table', 'slug': 'hash-table', '__typename': 'CommonTagNode'}, {'name': 'Matrix', 'slug': 'matrix', '__typename': 'CommonTagNode'}]",0.6134991331544478
MEDIUM,74,False,74,TO_DO,Search a 2D Matrix,search-a-2d-matrix,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Binary Search', 'slug': 'binary-search', '__typename': 'CommonTagNode'}, {'name': 'Matrix', 'slug': 'matrix', '__typename': 'CommonTagNode'}]",0.527565204463827
MEDIUM,75,False,75,TO_DO,Sort Colors,sort-colors,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Two Pointers', 'slug': 'two-pointers', '__typename': 'CommonTagNode'}, {'name': 'Sorting', 'slug': 'sorting', '__typename': 'CommonTagNode'}]",0.6817067027114482
HARD,76,False,76,TO_DO,Minimum Window Substring,minimum-window-substring,"[{'name': 'Hash Table', 'slug': 'hash-table', '__typename': 'CommonTagNode'}, {'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}, {'name': 'Sliding Window', 'slug': 'sliding-window', '__typename': 'CommonTagNode'}]",0.4590566810548536
MEDIUM,77,False,77,TO_DO,Combinations,combinations,"[{'name': 'Backtracking', 'slug': 'backtracking', '__typename': 'CommonTagNode'}]",0.7336016318566584
MEDIUM,78,False,78,TO_DO,Subsets,subsets,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Backtracking', 'slug': 'backtracking', '__typename': 'CommonTagNode'}, {'name': 'Bit Manipulation', 'slug': 'bit-manipulation', '__typename': 'CommonTagNode'}]",0.8133372756355057
MEDIUM,79,False,79,TO_DO,Word Search,word-search,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}, {'name': 'Backtracking', 'slug': 'backtracking', '__typename': 'CommonTagNode'}, {'name': 'Depth-First Search', 'slug': 'depth-first-search', '__typename': 'CommonTagNode'}, {'name': 'Matrix', 'slug': 'matrix', '__typename': 'CommonTagNode'}]",0.45811868636365427
MEDIUM,80,False,80,TO_DO,Remove Duplicates from Sorted Array II,remove-duplicates-from-sorted-array-ii,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Two Pointers', 'slug': 'two-pointers', '__typename': 'CommonTagNode'}]",0.633843317397045
MEDIUM,81,False,81,TO_DO,Search in Rotated Sorted Array II,search-in-rotated-sorted-array-ii,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Binary Search', 'slug': 'binary-search', '__typename': 'CommonTagNode'}]",0.39136675586319636
MEDIUM,82,False,82,TO_DO,Remove Duplicates from Sorted List II,remove-duplicates-from-sorted-list-ii,"[{'name': 'Linked List', 'slug': 'linked-list', '__typename': 'CommonTagNode'}, {'name': 'Two Pointers', 'slug': 'two-pointers', '__typename': 'CommonTagNode'}]",0.5039811757601202
EASY,83,False,83,TO_DO,Remove Duplicates from Sorted List,remove-duplicates-from-sorted-list,"[{'name': 'Linked List', 'slug': 'linked-list', '__typename': 'CommonTagNode'}]",0.553311556339587
HARD,84,False,84,TO_DO,Largest Rectangle in Histogram,largest-rectangle-in-histogram,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Stack', 'slug': 'stack', '__typename': 'CommonTagNode'}, {'name': 'Monotonic Stack', 'slug': 'monotonic-stack', '__typename': 'CommonTagNode'}]",0.48111252191968584
HARD,85,False,85,TO_DO,Maximal Rectangle,maximal-rectangle,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Dynamic Programming', 'slug': 'dynamic-programming', '__typename': 'CommonTagNode'}, {'name': 'Stack', 'slug': 'stack', '__typename': 'CommonTagNode'}, {'name': 'Matrix', 'slug': 'matrix', '__typename': 'CommonTagNode'}, {'name': 'Monotonic Stack', 'slug': 'monotonic-stack', '__typename': 'CommonTagNode'}]",0.5461089748440219
MEDIUM,86,False,86,TO_DO,Partition List,partition-list,"[{'name': 'Linked List', 'slug': 'linked-list', '__typename': 'CommonTagNode'}, {'name': 'Two Pointers', 'slug': 'two-pointers', '__typename': 'CommonTagNode'}]",0.5952143892590542
HARD,87,False,87,TO_DO,Scramble String,scramble-string,"[{'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}, {'name': 'Dynamic Programming', 'slug': 'dynamic-programming', '__typename': 'CommonTagNode'}]",0.42752114607940256
EASY,88,False,88,TO_DO,Merge Sorted Array,merge-sorted-array,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Two Pointers', 'slug': 'two-pointers', '__typename': 'CommonTagNode'}, {'name': 'Sorting', 'slug': 'sorting', '__typename': 'CommonTagNode'}]",0.5344918851728633
MEDIUM,89,False,89,TO_DO,Gray Code,gray-code,"[{'name': 'Math', 'slug': 'math', '__typename': 'CommonTagNode'}, {'name': 'Backtracking', 'slug': 'backtracking', '__typename': 'CommonTagNode'}, {'name': 'Bit Manipulation', 'slug': 'bit-manipulation', '__typename': 'CommonTagNode'}]",0.6249721084321959
MEDIUM,90,False,90,TO_DO,Subsets II,subsets-ii,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Backtracking', 'slug': 'backtracking', '__typename': 'CommonTagNode'}, {'name': 'Bit Manipulation', 'slug': 'bit-manipulation', '__typename': 'CommonTagNode'}]",0.6001595811111471
MEDIUM,91,False,91,TO_DO,Decode Ways,decode-ways,"[{'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}, {'name': 'Dynamic Programming', 'slug': 'dynamic-programming', '__typename': 'CommonTagNode'}]",0.3689365226287329
MEDIUM,92,False,92,TO_DO,Reverse Linked List II,reverse-linked-list-ii,"[{'name': 'Linked List', 'slug': 'linked-list', '__typename': 'CommonTagNode'}]",0.5004174585229164
MEDIUM,93,False,93,TO_DO,Restore IP Addresses,restore-ip-addresses,"[{'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}, {'name': 'Backtracking', 'slug': 'backtracking', '__typename': 'CommonTagNode'}]",0.5384109237958579
EASY,94,False,94,TO_DO,Binary Tree Inorder Traversal,binary-tree-inorder-traversal,"[{'name': 'Stack', 'slug': 'stack', '__typename': 'CommonTagNode'}, {'name': 'Tree', 'slug': 'tree', '__typename': 'CommonTagNode'}, {'name': 'Depth-First Search', 'slug': 'depth-first-search', '__typename': 'CommonTagNode'}, {'name': 'Binary Tree', 'slug': 'binary-tree', '__typename': 'CommonTagNode'}]",0.7903527098615776
